sample,fastq_1,fastq_2,strandedness
M10,/scratch/jar301/georgia/fastq/M_10/M_10_1.fq.gz,/scratch/jar301/georgia/fastq/M_10/M_10_2.fq.gz,auto
M11,/scratch/jar301/georgia/fastq/M_11/M_11_1.fq.gz,/scratch/jar301/georgia/fastq/M_11/M_11_2.fq.gz,auto
M12,/scratch/jar301/georgia/fastq/M_12/M_12_1.fq.gz,/scratch/jar301/georgia/fastq/M_12/M_12_2.fq.gz,auto
M13,/scratch/jar301/georgia/fastq/M_13/M_13_1.fq.gz,/scratch/jar301/georgia/fastq/M_13/M_13_2.fq.gz,auto
M2,/scratch/jar301/georgia/fastq/M_2/M_2_1.fq.gz,/scratch/jar301/georgia/fastq/M_2/M_2_2.fq.gz,auto
M3,/scratch/jar301/georgia/fastq/M_3/M_3_1.fq.gz,/scratch/jar301/georgia/fastq/M_3/M_3_2.fq.gz,auto
M5,/scratch/jar301/georgia/fastq/M_5/M_5_1.fq.gz,/scratch/jar301/georgia/fastq/M_5/M_5_2.fq.gz,auto
M6,/scratch/jar301/georgia/fastq/M_6/M_6_1.fq.gz,/scratch/jar301/georgia/fastq/M_6/M_6_2.fq.gz,auto
M7,/scratch/jar301/georgia/fastq/M_7/M_7_1.fq.gz,/scratch/jar301/georgia/fastq/M_7/M_7_2.fq.gz,auto
M8,/scratch/jar301/georgia/fastq/M_8/M_8_1.fq.gz,/scratch/jar301/georgia/fastq/M_8/M_8_2.fq.gz,auto
M9,/scratch/jar301/georgia/fastq/M_9/M_9_1.fq.gz,/scratch/jar301/georgia/fastq/M_9/M_9_2.fq.gz,auto
NS10,/scratch/jar301/georgia/fastq/NS_10/NS_10_1.fq.gz,/scratch/jar301/georgia/fastq/NS_10/NS_10_2.fq.gz,auto
NS12,/scratch/jar301/georgia/fastq/NS_12/NS_12_1.fq.gz,/scratch/jar301/georgia/fastq/NS_12/NS_12_2.fq.gz,auto
NS2,/scratch/jar301/georgia/fastq/NS_2/NS_2_1.fq.gz,/scratch/jar301/georgia/fastq/NS_2/NS_2_2.fq.gz,auto
NS3,/scratch/jar301/georgia/fastq/NS_3/NS_3_1.fq.gz,/scratch/jar301/georgia/fastq/NS_3/NS_3_2.fq.gz,auto
NS4,/scratch/jar301/georgia/fastq/NS_4/NS_4_1.fq.gz,/scratch/jar301/georgia/fastq/NS_4/NS_4_2.fq.gz,auto
NS5,/scratch/jar301/georgia/fastq/NS_5/NS_5_1.fq.gz,/scratch/jar301/georgia/fastq/NS_5/NS_5_2.fq.gz,auto
NS6,/scratch/jar301/georgia/fastq/NS_6/NS_6_1.fq.gz,/scratch/jar301/georgia/fastq/NS_6/NS_6_2.fq.gz,auto
NS7,/scratch/jar301/georgia/fastq/NS_7/NS_7_1.fq.gz,/scratch/jar301/georgia/fastq/NS_7/NS_7_2.fq.gz,auto
NS9,/scratch/jar301/georgia/fastq/NS_9/NS_9_1.fq.gz,/scratch/jar301/georgia/fastq/NS_9/NS_9_2.fq.gz,auto
