Lipids,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68
SM(d18:1/18:0)/SM(d16:1/20:0),94915681,93206031,6602743,94587940,92707595,91049711,95760531,93529255,92449782,94407909,94349070,93186753,91800248,92508769,93078781,91791053,95597104,92386588,55488193,90112312,91996815,91314940,91355674,93813281,90286701,92491710,92263232,90144044,90249959,57639053,92615289,93463240,93490279,91189401,94049158,92116529,91301127,91796069,91699722,91457572,87448735,91619101,85444547,93469811,91403168,90706483,90384234,89047546,89695853,89357826,92201444,87147153,90669316,90060204,83192823,539636,82557635,85073495,88833516,89300296,77770180,90436613,85033172,90554704,88544177,85820787,87928072,89320315
PC(38:6) ,48051142,40372904,706970,52382367,51830867,43947156,35744994,47172010,33038953,33408422,60320613,44035021,53433198,52875956,63436710,59013120,52706535,60576872,58794574,40783454,42400049,34705368,37687577,16667359,40615091,46486474,54171913,44414876,44030722,36721961,41577179,55875153,72452787,44118035,52290162,38786622,57476351,38732162,39814904,48086187,16065612,54030169,35354702,67326308,57228440,39392341,51982110,48583904,43869706,44812736,45153302,33390996,44547402,32844781,29676832,185860,31058031,32644283,34350849,38971293,38063499,43826368,31230017,40989416,38665294,37196843,37813455,45525253
SM(d18:0/22:0),42486419,40808757,2617615,7612694,79394904,32419008,71256552,76304918,79643930,6925617,50734107,32791217,59766492,37310542,38776007,71471822,21897328,36121245,35393089,68552115,13150423,67243373,65534006,74366733,64668292,31994123,71427716,34494324,68144047,67664139,73474547,53561174,36874741,70905491,21396214,32656076,40485672,59834916,63085648,83135709,26150526,44531701,54868920,33666823,33166191,35775671,63022384,35047245,58182085,37682647,60835603,67094427,75297714,52275472,36783227,282605,51564174,40736718,40322485,57558538,37664579,34858618,3822104,59437684,60822986,66801809,52494692,31757895
PC(36:4) ,36029427,33089382,1282481,37180483,34826693,35114887,32386492,35056595,39871275,52497235,44032687,36513859,36984672,41472089,45284900,43354515,39943260,41518539,40233106,21935650,33900571,18356248,35248368,45169087,33368383,37114494,40843372,34993673,37612303,33967859,33960591,43408969,51544173,35507590,42903528,32884406,45123036,32155596,34190564,41851165,40417154,46724813,34769876,50506138,44599197,36488977,42300627,42307842,37260742,41413601,38858813,33457702,37938284,32141085,29798404,233010,33373258,33036455,33737283,39324228,34232123,38185534,36557982,36725245,38448902,39100489,34995082,40025691
SM(d18:1/16:0),30703191,23770594,430538,29312786,27075240,25118613,24358452,29561503,29438943,34539903,29656257,26554281,28131603,24940498,29275412,25430965,27047091,34233070,35289193,23285709,23269861,20671690,18813275,25371872,19912462,24645519,23755126,24047026,27492329,21046060,23339560,30631031,33663823,22058610,25037287,22040808,22323557,19314117,20792108,22209379,19956709,23175004,16299415,29834001,24041734,17228186,19186675,17682790,17520391,18188391,20330902,14004275,18140023,15194304,13930564,42506,12234285,14238874,15086510,14259634,17211128,19637820,12837908,16080712,16337078,13411560,15535694,17200843
PE(18:0_20:4),29816386,26784363,442764,30154124,31510430,28895860,27549508,30302439,30872342,30891271,30365054,28936933,30009112,29441845,30510628,15623477,30163265,7596483,29439460,24249253,26576601,24671834,24477631,29180936,24997984,25695850,14615832,24773582,26831389,24743913,27959947,29772471,15378858,26559412,27355132,25543748,27712396,24205378,23920289,26657966,984169,26127469,21365766,28759344,25446067,22569537,24727049,23032004,23050990,23355120,23958039,19510034,24212177,20763163,18213727,65458,19447600,20121738,21769108,21630650,21426201,22770834,19933623,22658840,23957520,19925011,20602771,22311645
PE(18:0_22:6),23385746,21715929,786877,23006026,24190545,22824878,22887575,23751396,15606914,15638513,21754204,22947339,12981398,22509702,13087611,8910000,23107875,5150385,22527718,20650967,23214920,20424012,22026056,22388472,21466311,21155761,22751253,20279793,20367436,19972015,11784541,22396359,22738939,20529748,14973700,20610360,10223522,20727385,20682287,20419505,19578504,9550507,9813807,12717880,18557606,7065779,19231458,19518834,18893556,8111520,20213880,17101092,20802986,18456443,16983672,102962,17564769,17952998,18821401,19467615,19082665,19040924,16875986,19137343,8827362,18152382,18517026,18902162
PS(36:1),20975845,19732175,1212567,12634186,10671120,18423306,10310225,20123855,8079275,23808300,12900805,19208843,19872924,18774848,20160116,18780125,20882572,9979765,6139320,18603398,18369514,17854747,16702873,19045394,8280096,10390501,19133764,10842178,17679912,18824739,19435141,10288747,10097373,17703167,19806060,17700860,18133406,18633151,10602362,17005831,16332015,20004584,16209921,22782469,19753364,17045530,16425264,16210205,17738503,16962905,17948495,15946925,17008892,16265011,15871654,79070,15117498,14973895,15279445,15397030,16413188,17976441,15601949,17644293,16615261,7089354,15904307,7644201
PC(38:4) ,20272732,16726743,754248,19575135,19349643,17863857,25574844,21362470,31410539,26012822,22799620,18314874,3410872,16383448,33332692,21329505,20276682,23895611,29983580,13109441,25389570,10676433,4450052,12469991,13893631,26139129,2067276,15842676,27133185,11529962,1956719,23932870,29069246,13334449,18634872,13856362,19137504,11900256,15751099,14821115,14016453,27896717,10141703,30376178,16143403,24807277,16098667,13306373,10323671,17500312,25064720,11302133,2554228,2310479,6320714,163218,9504070,7102673,7201933,12866968,9963085,13520015,10615325,25768007,12558664,14131220,8966878,13515991
SM(40:3) ,17955713,17137943,704086,19898735,19257737,18236915,16497448,17976509,21168593,26353388,22764815,17970523,19703290,21342347,22663927,22450106,20503767,20962512,20945613,16661935,17829421,16414371,18022591,21249280,18074437,18727092,21419870,4852831,19215396,17010210,18139464,22692888,26514369,18239424,21383176,12353300,18047472,17066678,17225335,20854701,20420521,22845324,17391089,6827799,22115886,19445388,22321591,21022756,19408591,21032480,19170785,16544988,20085050,17062048,15712945,127110,16072439,7944836,18400628,20943553,18207521,19259624,18675743,19002301,20539217,19812947,18061071,21176451
