Lipids,term,df,sumsq,meansq,statistic,p.value,p_adj_BH,neglog10_p
AC(10:0),Sex,1,0.29537771792472745,0.29537771792472745,1.2315633887948556,0.28457807988200295,0.9670019386214893,0.5457985552458257
AC(10:0),Genotype,1,0.002780660483165054,0.002780660483165054,0.011593832032406019,0.9156808024421137,0.9950854656182027,0.03825589084854949
AC(10:0),Sex:Genotype,1,2.6761724395418796e-4,2.6761724395418796e-4,0.001115817408908785,0.9737929836967486,0.9978701881834164,0.011533358926254025
AC(10:0),Residuals,15,3.5975945770899638,0.23983963847266426,NA,NA,NA,NA
AC(12:0),Sex,1,0.014463928806800808,0.014463928806800808,0.23703140959627303,0.6333958143143033,0.9670019386214893,0.19832481091391335
AC(12:0),Genotype,1,0.07112710186703985,0.07112710186703985,1.1656139518686681,0.29735896552520075,0.9950854656182027,0.5267189627661053
AC(12:0),Sex:Genotype,1,0.016138284267401604,0.016138284267401604,0.26447034685133036,0.6145585034489577,0.9978701881834164,0.21143676775611028
AC(12:0),Residuals,15,0.915317225137168,0.06102114834247786,NA,NA,NA,NA
AC(12:1),Sex,1,0.011710658330299495,0.011710658330299495,0.017451468605953518,0.8966577550195952,0.9685989507431776,0.04737329103515102
AC(12:1),Genotype,1,0.4127680956396311,0.4127680956396311,0.6151156715038425,0.445077901960666,0.9950854656182027,0.35156396782663446
AC(12:1),Sex:Genotype,1,0.4974328983885492,0.4974328983885492,0.7412849359062652,0.40280277094600636,0.9978701881834164,0.39490755052551746
AC(12:1),Residuals,15,10.065621348026067,0.6710414232017378,NA,NA,NA,NA
AC(13:0),Sex,1,0.3956605766161614,0.3956605766161614,2.0209043855788638,0.17560455962003632,0.9670019386214893,0.7554642117094568
AC(13:0),Genotype,1,0.14536446476967946,0.14536446476967946,0.7424739833136311,0.40243465288430647,0.9950854656182027,0.3953046300682489
AC(13:0),Sex:Genotype,1,0.12113851167637169,0.12113851167637169,0.6187357648896382,0.4437679754120245,0.9978701881834164,0.3528440419049819
AC(13:0),Residuals,15,2.9367587559281967,0.19578391706187978,NA,NA,NA,NA
AC(14:0),Sex,1,0.002663591847540392,0.002663591847540392,0.032011742031433185,0.8603961360617278,0.9685989507431776,0.06530154864584663
AC(14:0),Genotype,1,0.04813687158393232,0.04813687158393232,0.5785214866038894,0.45868260362337565,0.9950854656182027,0.3384877309681759
AC(14:0),Sex:Genotype,1,4.959230918029078e-4,4.959230918029078e-4,0.0059601331551172275,0.939483303151984,0.9978701881834164,0.02711093393854337
AC(14:0),Residuals,15,1.2481007023570945,0.08320671349047297,NA,NA,NA,NA
AC(14:0)-OH,Sex,1,0.4855614264194301,0.4855614264194301,1.0863167320740006,0.31379684914108924,0.9670019386214893,0.5033514215123335
AC(14:0)-OH,Genotype,1,0.013401310080645601,0.013401310080645601,0.029981927270602355,0.8648461587266851,0.9950854656182027,0.0630611391919809
AC(14:0)-OH,Sex:Genotype,1,0.04555818828338509,0.04555818828338509,0.1019245342039767,0.7539351146339714,0.9978701881834164,0.12266602889014286
AC(14:0)-OH,Residuals,15,6.704694111068244,0.4469796074045496,NA,NA,NA,NA
AC(14:1),Sex,1,0.10920171632033959,0.10920171632033959,0.36624136623890535,0.5541063644061256,0.9670019386214893,0.2564068615517236
AC(14:1),Genotype,1,0.015986488688831457,0.015986488688831457,0.053615580927182924,0.8200162683246982,0.9950854656182027,0.0861775315509638
AC(14:1),Sex:Genotype,1,0.05324713946461568,0.05324713946461568,0.17858057330003818,0.6785912681138783,0.9978701881834164,0.1683917330114988
AC(14:1),Residuals,15,4.4725306745841005,0.29816871163894004,NA,NA,NA,NA
AC(14:1)-OH,Sex,1,0.5593466548193717,0.5593466548193717,0.8664653338690722,0.36667584796956,0.9670019386214893,0.4357176949998134
AC(14:1)-OH,Genotype,1,0.0073871010250048386,0.0073871010250048386,0.01144311296189361,0.9162284275294511,0.9950854656182027,0.03799623763344936
AC(14:1)-OH,Sex:Genotype,1,0.018537631739814486,0.018537631739814486,0.02871602991845405,0.8677005510477086,0.9978701881834164,0.06163012674215114
AC(14:1)-OH,Residuals,15,9.683249282259666,0.6455499521506444,NA,NA,NA,NA
AC(14:2),Sex,1,0.43818639623073885,0.43818639623073885,0.5402674144071815,0.47365805831220653,0.9670019386214893,0.3245350696735708
AC(14:2),Genotype,1,0.4390874562182514,0.4390874562182514,0.5413783876228421,0.4732115893461598,0.9950854656182027,0.32494462768009186
AC(14:2),Sex:Genotype,1,0.013650794079076434,0.013650794079076434,0.016830917812938995,0.8985005793424352,0.9978701881834164,0.046481638527025596
AC(14:2),Residuals,15,12.165819681487188,0.8110546454324792,NA,NA,NA,NA
AC(15:0),Sex,1,0.7038931020559103,0.7038931020559103,1.6559439942954288,0.21765705392556559,0.9670019386214893,0.6622272534718618
AC(15:0),Genotype,1,0.009008364560494364,0.009008364560494364,0.02119263159250215,0.8861936451823625,0.9950854656182027,0.05247136858123918
AC(15:0),Sex:Genotype,1,0.3263300115669825,0.3263300115669825,0.7677077971560798,0.3947424725801437,0.9978701881834164,0.40368614288540866
AC(15:0),Residuals,15,6.376058953208161,0.42507059688054405,NA,NA,NA,NA
AC(16:0),Sex,1,0.11257305072953372,0.11257305072953372,0.30357098149613265,0.5897653146176982,0.9670019386214893,0.22932077283727484
AC(16:0),Genotype,1,0.013058279122355465,0.013058279122355465,0.03521370864637956,0.8536634004619088,0.9950854656182027,0.06871333790380996
AC(16:0),Sex:Genotype,1,0.009759853254683648,0.009759853254683648,0.026318983207632325,0.8732889364595411,0.9978701881834164,0.058842041805350534
AC(16:0),Residuals,15,5.562441286781944,0.37082941911879624,NA,NA,NA,NA
AC(16:0)-OH,Sex,1,2.681354554168495,2.681354554168495,3.0684088593780343,0.1002410407250204,0.9670019386214893,0.9989544330475533
AC(16:0)-OH,Genotype,1,5.1470929491870265e-5,5.1470929491870265e-5,5.890077304687263e-5,0.9939776900529806,0.9950854656182027,0.0026233632843945327
AC(16:0)-OH,Sex:Genotype,1,6.750892227600502e-4,6.750892227600502e-4,7.725385472679272e-4,0.9781924141437639,0.9978701881834164,0.009575709443869755
AC(16:0)-OH,Residuals,15,13.107874522523726,0.8738583015015817,NA,NA,NA,NA
AC(16:1),Sex,1,0.014416384652221392,0.014416384652221392,0.07749129700732556,0.7845270959791818,0.9670019386214893,0.10539205216496939
AC(16:1),Genotype,1,0.01795966536599325,0.01795966536599325,0.09653722459562107,0.760301019179411,0.9950854656182027,0.11901442734344836
AC(16:1),Sex:Genotype,1,0.029366322624441832,0.029366322624441832,0.15785056263415656,0.6967393599790963,0.9978701881834164,0.1569296547461959
AC(16:1),Residuals,15,2.7905813702263664,0.1860387580150911,NA,NA,NA,NA
AC(16:1)-OH,Sex,1,2.710153103951974,2.710153103951974,2.434155281407744,0.13956421248105821,0.9670019386214893,0.855225930670838
AC(16:1)-OH,Genotype,1,0.08093405811352383,0.08093405811352383,0.07269185815204277,0.7911306988529216,0.9950854656182027,0.1017517628971564
AC(16:1)-OH,Sex:Genotype,1,0.45257189624738103,0.45257189624738103,0.40648267061402216,0.5333720229700478,0.9978701881834164,0.27296976815192164
AC(16:1)-OH,Residuals,15,16.70078193851675,1.1133854625677835,NA,NA,NA,NA
AC(17:0),Sex,1,0.2946132921425555,0.2946132921425555,0.30751226945892396,0.587384511909451,0.9670019386214893,0.23107750909163235
AC(17:0),Genotype,1,0.09546649726283718,0.09546649726283718,0.09964628213849934,0.7566039472966003,0.9950854656182027,0.12113139726920641
AC(17:0),Sex:Genotype,1,0.5713589956754532,0.5713589956754532,0.5963746583128152,0.45196124608755406,0.9978701881834164,0.3448988026485435
AC(17:0),Residuals,15,14.370806699563667,0.9580537799709111,NA,NA,NA,NA
AC(18:0),Sex,1,0.4588507395060084,0.4588507395060084,0.6971987746126488,0.41682785329585514,0.9670019386214893,0.38004326828692425
AC(18:0),Genotype,1,0.10174240820281533,0.10174240820281533,0.1545920627729835,0.6997167374916877,0.9950854656182027,0.15507773747367967
AC(18:0),Sex:Genotype,1,0.11290019703328191,0.11290019703328191,0.17154571682694222,0.6846036415774451,0.9978701881834164,0.16456079507137633
AC(18:0),Residuals,15,9.872021212908852,0.6581347475272568,NA,NA,NA,NA
AC(18:0)-OH,Sex,1,3.6983903786694423,3.6983903786694423,3.5725913237926634,0.07822189562317673,0.9670019386214893,1.1066716635985396
AC(18:0)-OH,Genotype,1,0.29494216569694665,0.29494216569694665,0.2849098430135487,0.6013221428733984,0.9950854656182027,0.22089280355401789
AC(18:0)-OH,Sex:Genotype,1,0.8356140583579954,0.8356140583579954,0.8071910288721238,0.3831474059405032,0.9978701881834164,0.4166341104427742
AC(18:0)-OH,Residuals,15,15.528184069245418,1.0352122712830278,NA,NA,NA,NA
AC(18:1),Sex,1,0.032892855186452685,0.032892855186452685,0.24094136488542783,0.6306304769804687,0.9670019386214893,0.20022504458620405
AC(18:1),Genotype,1,0.0014536377141576295,0.0014536377141576295,0.010647949316431607,0.9191800025878183,0.9950854656182027,0.03659943260113959
AC(18:1),Sex:Genotype,1,0.019798767240060133,0.019798767240060133,0.1450266927218196,0.7086733516857712,0.9978701881834164,0.14955389774986097
AC(18:1),Residuals,15,2.047771365582692,0.13651809103884613,NA,NA,NA,NA
AC(18:1)-OH,Sex,1,0.04813618553179699,0.04813618553179699,0.22675794832584173,0.6408000249064338,0.9670019386214893,0.19327748004378353
AC(18:1)-OH,Genotype,1,0.003744354307827713,0.003744354307827713,0.017638749129533338,0.8961081738850463,0.9950854656182027,0.04763956122438347
AC(18:1)-OH,Sex:Genotype,1,7.13270499684171e-4,7.13270499684171e-4,0.003360045116223246,0.9545409489862189,0.9978701881834164,0.02020543601071093
AC(18:1)-OH,Residuals,15,3.184200546476146,0.21228003643174306,NA,NA,NA,NA
AC(18:2),Sex,1,0.8896443499741284,0.8896443499741284,1.0535882630804954,0.32095104870975066,0.9670019386214893,0.4935612009171897
AC(18:2),Genotype,1,1.2990763000431116e-4,1.2990763000431116e-4,1.5384704490184882e-4,0.9902671539290298,0.9950854656182027,0.0042476257808317834
AC(18:2),Sex:Genotype,1,1.4426380887198444,1.4426380887198444,1.7084878448250784,0.210865036947621,0.9978701881834164,0.6759954236720025
AC(18:2),Residuals,15,12.665920566156096,0.8443947044104064,NA,NA,NA,NA
AC(18:3),Sex,1,1.8102042032519563,1.8102042032519563,0.5605480216059987,0.4656183686461214,0.9670019386214893,0.33196989510152225
AC(18:3),Genotype,1,0.8006214898334463,0.8006214898334463,0.24792053370286002,0.6257635332217589,0.9950854656182027,0.20358974924674308
AC(18:3),Sex:Genotype,1,0.030979060729983132,0.030979060729983132,0.009592979163460223,0.9232737633200913,0.9978701881834164,0.03466950561473185
AC(18:3),Residuals,15,48.44020851413307,3.229347234275538,NA,NA,NA,NA
AC(20:3),Sex,1,0.08264138128012721,0.08264138128012721,0.2305427125023997,0.6380485014840356,0.9670019386214893,0.19514630697434
AC(20:3),Genotype,1,0.191275577632795,0.191275577632795,0.5335969682483024,0.4763538314191801,0.9950854656182027,0.3220703373058083
AC(20:3),Sex:Genotype,1,0.4355490707597802,0.4355490707597802,1.2150409715502373,0.2877085221495839,0.9978701881834164,0.5410472737797377
AC(20:3),Residuals,15,5.376967702629096,0.35846451350860636,NA,NA,NA,NA
AC(20:4),Sex,1,0.14167120782366016,0.14167120782366016,0.7233878104810938,0.4084068369084991,0.9670019386214893,0.38890699624531055
AC(20:4),Genotype,1,0.024497428878862415,0.024497428878862415,0.1250864004855123,0.7285039335992296,0.9950854656182027,0.13756809888942373
AC(20:4),Sex:Genotype,1,0.06809634417742849,0.06809634417742849,0.3477069622896952,0.5641912226702084,0.9978701881834164,0.24857367460664706
AC(20:4),Residuals,15,2.9376609428096554,0.195844062853977,NA,NA,NA,NA
AC(20:5),Sex,1,0.20766575647376495,0.20766575647376495,0.7406510775913208,0.40299921922165083,0.9670019386214893,0.39469579526846155
AC(20:5),Genotype,1,0.0032836911385700773,0.0032836911385700773,0.011711460866521098,0.9152559069940676,0.9950854656182027,0.03845745953285603
AC(20:5),Sex:Genotype,1,0.029716100897285713,0.029716100897285713,0.10598407038845412,0.7492603535200794,0.9978701881834164,0.12536724712029332
AC(20:5),Residuals,15,4.205740653529803,0.2803827102353202,NA,NA,NA,NA
AC(24:0),Sex,1,0.5180549951403215,0.5180549951403215,0.5855834938229438,0.4560042983937672,0.9670019386214893,0.3410310635638636
AC(24:0),Genotype,1,0.3989645107502593,0.3989645107502593,0.4509695578810461,0.5120852819916627,0.9950854656182027,0.29065770618407916
AC(24:0),Sex:Genotype,1,1.2024015882992227,1.2024015882992227,1.3591347051171658,0.26189088465168237,0.9978701881834164,0.5818796173226412
AC(24:0),Residuals,15,13.27022535483966,0.884681690322644,NA,NA,NA,NA
CE(14:0),Sex,1,2.4630826996362787,2.4630826996362787,12.992471776626337,0.0026015049192277275,0.3659450253047003,2.584775348552708
CE(14:0),Genotype,1,0.3081379883507789,0.3081379883507789,1.625391675864192,0.2217363864160135,0.9950854656182027,0.6541630343413073
CE(14:0),Sex:Genotype,1,0.5127230593592711,0.5127230593592711,2.7045538823907718,0.12085106384626085,0.9978701881834164,0.9177495221654984
CE(14:0),Residuals,15,2.843665249364717,0.18957768329098112,NA,NA,NA,NA
CE(16:0),Sex,1,1.3105263597182315,1.3105263597182315,4.877504326449526,0.04318825153165504,0.9670019386214893,1.3646343779280714
CE(16:0),Genotype,1,0.3650160035128369,0.3650160035128369,1.3585130303979263,0.2619954462587149,0.9950854656182027,0.5817062570844489
CE(16:0),Sex:Genotype,1,0.4943543138563964,0.4943543138563964,1.8398831025054556,0.19503090302035717,0.9978701881834164,0.7098965683920121
CE(16:0),Residuals,15,4.030318392374038,0.2686878928249359,NA,NA,NA,NA
CE(16:1),Sex,1,2.320413001791202,2.320413001791202,8.109250193554441,0.01222385767916723,0.5158467940608572,1.912791715174811
CE(16:1),Genotype,1,0.159644087137373,0.159644087137373,0.5579152691866599,0.46664903159014715,0.9950854656182027,0.33100963110099996
CE(16:1),Sex:Genotype,1,0.0038047194108941085,0.0038047194108941085,0.01329652160860874,0.9097284662869922,0.9978701881834164,0.041088215580601564
CE(16:1),Residuals,15,4.292159471726917,0.28614396478179444,NA,NA,NA,NA
CE(17:0),Sex,1,0.6729120285706074,0.6729120285706074,0.3787115565000448,0.5475176572889664,0.9670019386214893,0.26160187038828375
CE(17:0),Genotype,1,1.3911763806074227,1.3911763806074227,0.782947176000219,0.3902049996828405,0.9950854656182027,0.4087071703060363
CE(17:0),Sex:Genotype,1,0.0598241314515775,0.0598241314515775,0.03366872485013535,0.8568705675158835,0.9978701881834164,0.06708477441155791
CE(17:0),Residuals,15,26.65268660360492,1.7768457735736614,NA,NA,NA,NA
