Lipids,contrast,Sex,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction
SM(d18:1/18:0)/SM(d16:1/20:0),(4s2-) - 4s2M,F,-0.12576410997871576,0.16230069241030387,15,-0.7748833853448888,0.4504517970805071,0.4504517970805071,(4s2-),4s2M,BH,4s2M > (4s2-)
SM(d18:1/18:0)/SM(d16:1/20:0),(4s2-) - 4s2M,M,-0.09960216833517067,0.2381922967804655,15,-0.41815864610840425,0.6817560969045835,0.6817560969045835,(4s2-),4s2M,BH,4s2M > (4s2-)
PC(38:6),(4s2-) - 4s2M,F,-0.0970210401543675,0.15178987120092535,15,-0.639179935965161,0.5323461550796906,0.5323461550796906,(4s2-),4s2M,BH,4s2M > (4s2-)
PC(38:6),(4s2-) - 4s2M,M,-0.19879837306276835,0.22276662848706424,15,-0.8924064363361871,0.3862679214204935,0.3862679214204935,(4s2-),4s2M,BH,4s2M > (4s2-)
SM(d18:0/22:0),(4s2-) - 4s2M,F,0.39111616191051957,0.3948815389960943,15,0.9904645400867627,0.33765640662192486,0.33765640662192486,(4s2-),4s2M,BH,(4s2-) > 4s2M
SM(d18:0/22:0),(4s2-) - 4s2M,M,0.2988528439105357,0.5795276614834287,15,0.5156834846253171,0.6135922546716728,0.6135922546716728,(4s2-),4s2M,BH,(4s2-) > 4s2M
PC(36:4),(4s2-) - 4s2M,F,0.05359833671444675,0.11291077570275833,15,0.4746963819958716,0.6418406504800457,0.6418406504800457,(4s2-),4s2M,BH,(4s2-) > 4s2M
PC(36:4),(4s2-) - 4s2M,M,-0.07725278255037796,0.16570771570039558,15,-0.4661990675802523,0.6477712572306892,0.6477712572306892,(4s2-),4s2M,BH,4s2M > (4s2-)
SM(d18:1/16:0),(4s2-) - 4s2M,F,-0.035912864841392125,0.2540366724539538,15,-0.14136882086542693,0.8894597141459033,0.8894597141459033,(4s2-),4s2M,BH,4s2M > (4s2-)
SM(d18:1/16:0),(4s2-) - 4s2M,M,0.009359395289013816,0.3728239083866812,15,0.02510406408621881,0.980302888934093,0.980302888934093,(4s2-),4s2M,BH,(4s2-) > 4s2M
PE(18:0_20:4),(4s2-) - 4s2M,F,-0.025427155208939043,0.1686392620640802,15,-0.15077838279010694,0.8821594909788798,0.8821594909788798,(4s2-),4s2M,BH,4s2M > (4s2-)
PE(18:0_20:4),(4s2-) - 4s2M,M,-0.04230273611807073,0.24749477381684873,15,-0.17092375513907065,0.86656801530477,0.86656801530477,(4s2-),4s2M,BH,4s2M > (4s2-)
PE(18:0_22:6),(4s2-) - 4s2M,F,-0.15068700669952478,0.21989507117529697,15,-0.6852677774637315,0.5036281538351635,0.5036281538351635,(4s2-),4s2M,BH,4s2M > (4s2-)
PE(18:0_22:6),(4s2-) - 4s2M,M,-0.2945483442711574,0.32271773629613104,15,-0.912711980604856,0.3758307519882378,0.3758307519882378,(4s2-),4s2M,BH,4s2M > (4s2-)
PS(36:1),(4s2-) - 4s2M,F,-0.20739691596378074,0.29417076693237354,15,-0.70502218193373,0.4915997991985569,0.4915997991985569,(4s2-),4s2M,BH,4s2M > (4s2-)
PS(36:1),(4s2-) - 4s2M,M,-0.8462346748823648,0.4317246561348905,15,-1.9601258877787198,0.06882822832030588,0.06882822832030588,(4s2-),4s2M,BH,4s2M > (4s2-)
PC(38:4),(4s2-) - 4s2M,F,-0.08625041983939807,0.39542738181404646,15,-0.21811949249371448,0.8302756150669786,0.8302756150669786,(4s2-),4s2M,BH,4s2M > (4s2-)
PC(38:4),(4s2-) - 4s2M,M,0.7035070913699747,0.5803287397324386,15,1.2122561631090814,0.24416347026839372,0.24416347026839372,(4s2-),4s2M,BH,(4s2-) > 4s2M
SM(40:3),(4s2-) - 4s2M,F,-0.13070010304328766,0.19902305975832693,15,-0.6567083392346413,0.5213170673089167,0.5213170673089167,(4s2-),4s2M,BH,4s2M > (4s2-)
SM(40:3),(4s2-) - 4s2M,M,0.35487936718207524,0.29208599798371604,15,1.2149824696555978,0.24315222283086632,0.24315222283086632,(4s2-),4s2M,BH,(4s2-) > 4s2M
PC(32:1),(4s2-) - 4s2M,F,0.5502554191788823,0.7150890268074676,15,0.7694921870574788,0.45354889914048147,0.45354889914048147,(4s2-),4s2M,BH,(4s2-) > 4s2M
PC(32:1),(4s2-) - 4s2M,M,1.300176299799865,1.049463777191902,15,1.2388958323829011,0.23442089767601845,0.23442089767601845,(4s2-),4s2M,BH,(4s2-) > 4s2M
HexCer(d18:1/24:1),(4s2-) - 4s2M,F,-0.06030535693835346,0.15222810455140398,15,-0.39615126993839506,0.6975715326263437,0.6975715326263437,(4s2-),4s2M,BH,4s2M > (4s2-)
HexCer(d18:1/24:1),(4s2-) - 4s2M,M,-0.04269164551830685,0.22340977921381783,15,-0.19109121215973335,0.851016590273095,0.851016590273095,(4s2-),4s2M,BH,4s2M > (4s2-)
