Lipids,contrast,Genotype,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction
SM(d18:1/18:0)/SM(d16:1/20:0),F - M,4s2-,-0.15699226377158565,0.20130923306756796,15,-0.7798562508997904,0.4476067554781139,0.4476067554781139,F,M,BH,M > F
SM(d18:1/18:0)/SM(d16:1/20:0),F - M,4s2M,-0.13083032212804058,0.2062805799976455,15,-0.6342347986879515,0.5354811175299042,0.5354811175299042,F,M,BH,M > F
PC(38:6),F - M,4s2-,0.20199283596824383,0.1882721638773691,15,1.0728767960611092,0.30028421865302063,0.30028421865302063,F,M,BH,F > M
PC(38:6),F - M,4s2M,0.10021550305984298,0.19292155938520786,15,0.519462435298597,0.6110184359346595,0.6110184359346595,F,M,BH,F > M
SM(d18:0/22:0),F - M,4s2-,-0.25601368922769546,0.4897902688355872,15,-0.5227006445765752,0.6088171192617255,0.6088171192617255,F,M,BH,M > F
SM(d18:0/22:0),F - M,4s2M,-0.34827700722767935,0.5018856770404378,15,-0.6939369325728297,0.498328538929634,0.498328538929634,F,M,BH,M > F
PC(36:4),F - M,4s2-,-0.06572549568219753,0.14004858096553274,15,-0.4693049742387121,0.6456006359877227,0.6456006359877227,F,M,BH,M > F
PC(36:4),F - M,4s2M,-0.19657661494702222,0.14350709139963205,15,-1.3698041889763104,0.19090543341141772,0.19090543341141772,F,M,BH,M > F
SM(d18:1/16:0),F - M,4s2-,0.10410299960944276,0.3150937124375183,15,0.3303874228530851,0.7456767458326916,0.7456767458326916,F,M,BH,F > M
SM(d18:1/16:0),F - M,4s2M,0.1493752597398487,0.3228749758010682,15,0.462641179822752,0.6502618170618938,0.6502618170618938,F,M,BH,F > M
PE(18:0_20:4),F - M,4s2-,-0.04998682410881573,0.20917126111438153,15,-0.2389755831776591,0.8143588573972219,0.8143588573972219,F,M,BH,M > F
PE(18:0_20:4),F - M,4s2M,-0.06686240501794741,0.2143367614292747,15,-0.3119502439622807,0.7593724960926872,0.7593724960926872,F,M,BH,M > F
PE(18:0_22:6),F - M,4s2-,-0.018956862542588007,0.2727462679070306,15,-0.06950365512993828,0.9455068404587414,0.9455068404587414,F,M,BH,M > F
PE(18:0_22:6),F - M,4s2M,-0.1628182001142206,0.2794817578842569,15,-0.582571833477766,0.5688362128676328,0.5688362128676328,F,M,BH,M > F
PS(36:1),F - M,4s2-,0.5586750771730262,0.3648739300036085,15,1.531145503235874,0.14654864088123185,0.14654864088123185,F,M,BH,F > M
PS(36:1),F - M,4s2M,-0.08016268174555788,0.3738845196529165,15,-0.21440492326340305,0.8331187621263041,0.8331187621263041,F,M,BH,M > F
PC(38:4),F - M,4s2-,0.07416269010417381,0.49046730352610834,15,0.1512082244239264,0.8818262649992101,0.8818262649992101,F,M,BH,F > M
PC(38:4),F - M,4s2M,0.8639202013135465,0.5025794311544995,15,1.7189724603909746,0.10618183284411933,0.10618183284411933,F,M,BH,F > M
SM(40:3),F - M,4s2-,-0.21759870068778955,0.2468577239425625,15,-0.8814741431320141,0.39196727432058387,0.39196727432058387,F,M,BH,M > F
SM(40:3),F - M,4s2M,0.2679807695375734,0.2529538943436284,15,1.059405589437305,0.30617721327150266,0.30617721327150266,F,M,BH,F > M
PC(32:1),F - M,4s2-,-0.09239003584581074,0.8869587764771959,15,-0.10416497169435937,0.9184184506265147,0.9184184506265147,F,M,BH,M > F
PC(32:1),F - M,4s2M,0.657530844775172,0.908862291399759,15,0.7234658660582057,0.4805244977968042,0.4805244977968042,F,M,BH,F > M
HexCer(d18:1/24:1),F - M,4s2-,-0.022325087958916457,0.18881572545051664,15,-0.11823743973468588,0.9074483490097616,0.9074483490097616,F,M,BH,M > F
HexCer(d18:1/24:1),F - M,4s2M,-0.004711376538869844,0.1934785442530389,15,-0.024350899253759734,0.9808937094300414,0.9808937094300414,F,M,BH,M > F
