Subclass,term,df,sumsq,meansq,statistic,p.value,p_adj_BH,neglog10_p
Acylcarnitine,Sex,1,0.09840200773440433,0.09840200773440433,0.3352068682637752,0.5712016273688778,0.9571769915157455,0.24321056391340012
Acylcarnitine,Genotype,1,1.5774861559592068e-4,1.5774861559592068e-4,5.373713466251442e-4,0.9818112472642362,0.9818112472642362,0.007971997091704526
Acylcarnitine,Sex:Genotype,1,0.010072882523061821,0.010072882523061821,0.03431331822068038,0.8555233998046068,0.9671134084747728,0.06776810737707284
Acylcarnitine,Residuals,15,4.403340909037021,0.293556060602468,NA,NA,NA,NA
CE,Sex,1,1.7056796358445352,1.7056796358445352,10.965355900721237,0.004746661805362299,0.12341320693941976,2.3236117102022678
CE,Genotype,1,0.5718403815522963,0.5718403815522963,3.6762081051759,0.07444064502864232,0.962012105350647,1.1281898723606372
CE,Sex:Genotype,1,0.25279786938401116,0.25279786938401116,1.6251695514716107,0.22176640480850415,0.9671134084747728,0.6541042440811684
CE,Residuals,15,2.3332753418414063,0.15555168945609374,NA,NA,NA,NA
COH,Sex,1,0.062343122379626914,0.062343122379626914,0.5469611020294072,0.4709788021441923,0.9571769915157455,0.326998639195896
COH,Genotype,1,0.03051768049497139,0.03051768049497139,0.26774379462851,0.6123954836079675,0.962012105350647,0.21296802086628247
COH,Sex:Genotype,1,0.006912141336033351,0.006912141336033351,0.06064297549163666,0.8088206259752062,0.9671134084747728,0.09214778220316085
COH,Residuals,15,1.709713601615725,0.11398090677438168,NA,NA,NA,NA
Cer,Sex,1,0.0574536422451315,0.0574536422451315,0.3325206183937465,0.5727311550207062,0.9571769915157455,0.24204919180275317
Cer,Genotype,1,0.01447741006579184,0.01447741006579184,0.08378994193749109,0.7761882317628157,0.962012105350647,0.11003294613505978
Cer,Sex:Genotype,1,0.01100306056878253,0.01100306056878253,0.06368168077047283,0.8041939668485945,0.9671134084747728,0.09463918934575663
Cer,Residuals,15,2.5917329212244113,0.1727821947482941,NA,NA,NA,NA
DG,Sex,1,0.04568023367089502,0.04568023367089502,0.13881928403635715,0.7146694909940716,0.9571769915157455,0.14589475739195704
DG,Genotype,1,0.0939749888013175,0.0939749888013175,0.28558393016792927,0.6008962177519652,0.962012105350647,0.22120052957740913
