Subclass,contrast,Genotype,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction
Acylcarnitine,F - M,4s2-,0.10654933060968094,0.37388313720585137,15,0.28498030535947216,0.7795562652869634,0.7795562652869634,F,M,BH,F > M
Acylcarnitine,F - M,4s2M,0.20571107719977907,0.38311620991708767,15,0.5369417212711991,0.5991826210750917,0.5991826210750917,F,M,BH,F > M
CE,F - M,4s2-,-0.8873217401659554,0.2721621448224024,15,-3.260268766418531,0.005271208109201541,0.005271208109201541,F,M,BH,M > F
CE,F - M,4s2M,-0.39055331072028743,0.2788832098353124,15,-1.4004188740904089,0.18173305628156794,0.18173305628156794,F,M,BH,M > F
COH,F - M,4s2-,-0.08324111407344514,0.23297343684101646,15,-0.3572987341481757,0.7258453616098445,0.7258453616098445,F,M,BH,M > F
COH,F - M,4s2M,-0.16538468681239019,0.23872673370862935,15,-0.6927782416453008,0.4990349703757817,0.4990349703757817,F,M,BH,M > F
Cer,F - M,4s2-,0.06782116518214362,0.2868400871468731,15,0.23644242287312023,0.816287742112199,0.816287742112199,F,M,BH,F > M
Cer,F - M,4s2M,0.1714603611274635,0.29392362506975694,15,0.5833500491386862,0.5683257434086078,0.5683257434086078,F,M,BH,F > M
DG,F - M,4s2-,-0.3520321081150767,0.39584905358716893,15,-0.8893089548275416,0.3878770502657922,0.3878770502657922,F,M,BH,M > F
DG,F - M,4s2M,0.15324924200619758,0.40562457628594223,15,0.3778105444433564,0.7108639434092954,0.7108639434092954,F,M,BH,F > M
FA,F - M,4s2-,-0.16111459683891818,0.34263439860024647,15,-0.47022306428401406,0.6449596471712977,0.6449596471712977,F,M,BH,M > F
FA,F - M,4s2M,-0.01250405903655813,0.35109578131809016,15,-0.03561438132242764,0.9720594699978585,0.9720594699978585,F,M,BH,M > F
GM3,F - M,4s2-,-0.07148678787674134,0.27430821879177447,15,-0.2606075318910021,0.7979388973048145,0.7979388973048145,F,M,BH,M > F
GM3,F - M,4s2M,0.12821639928438655,0.2810822812657386,15,0.45615254973389524,0.6548150212037513,0.6548150212037513,F,M,BH,F > M
Hex2Cer,F - M,4s2-,0.26664265014933175,0.2792136966667076,15,0.9549769704443201,0.354727467347863,0.354727467347863,F,M,BH,F > M
Hex2Cer,F - M,4s2M,0.15607384852523914,0.286108900292533,15,0.5455050449869295,0.5934261712978129,0.5934261712978129,F,M,BH,F > M
HexCer,F - M,4s2-,0.0433350854375215,0.18529187547738085,15,0.23387471968684104,0.8182441829489171,0.8182441829489171,F,M,BH,F > M
HexCer,F - M,4s2M,-0.025829539652123878,0.18986767253490383,15,-0.13603969178784542,0.8935988486049069,0.8935988486049069,F,M,BH,M > F
LPC,F - M,4s2-,-0.05027323023729917,0.21481608097439803,15,-0.23402917514024835,0.8181264614202253,0.8181264614202253,F,M,BH,M > F
LPC,F - M,4s2M,0.2604126318988566,0.2201209805481047,15,1.1830432121936993,0.25520420208728656,0.25520420208728656,F,M,BH,F > M
LPE,F - M,4s2-,0.1637868182230502,0.3248541398265602,15,0.5041857195062869,0.6214555587310034,0.6214555587310034,F,M,BH,F > M
LPE,F - M,4s2M,0.2664841906788349,0.33287643769209174,15,0.8005498752823437,0.4358891161214997,0.4358891161214997,F,M,BH,F > M
LPI,F - M,4s2-,-0.5479162857619608,0.5974585381652949,15,-0.9170783422805022,0.3736117059742676,0.3736117059742676,F,M,BH,M > F
LPI,F - M,4s2M,-0.04796760204063122,0.612212822528197,15,-0.07835118814164,0.9385843527922104,0.9385843527922104,F,M,BH,M > F
PA,F - M,4s2-,-0.002208407880765659,0.2695343105049574,15,-0.008193420261147201,0.9935706480238666,0.9935706480238666,F,M,BH,M > F
PA,F - M,4s2M,-0.019272818794611735,0.27619048094811655,15,-0.06978089443362173,0.945289850944674,0.945289850944674,F,M,BH,M > F
PC,F - M,4s2-,0.02637422914908076,0.1878299384740664,15,0.14041547030971444,0.8901999411612267,0.8901999411612267,F,M,BH,F > M
PC,F - M,4s2M,0.03934631120275307,0.19246841319169788,15,0.2044299661969171,0.8407654468108455,0.8407654468108455,F,M,BH,F > M
PE,F - M,4s2-,-0.07364242968780657,0.17766661915735896,15,-0.41449783891357567,0.6843764923447632,0.6843764923447632,F,M,BH,M > F
