Metabolite,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,S14,S15,S16,S18,S19,S20
"(R)-2,3-Dihydroxyisovalerate",27587,30634,38995,23729,29189,29476,21090,22034,19740,26145,26574,24374,24843,25279,52405,20824,27421,17322,10156
(R)-2-Pyrrolidone-5-carboxylic acid,27532,24768,24964,32008,26277,31700,27912,29967,23559,24561,31232,30110,25790,31793,28225,22974,25179,23824,12560
(S)-(5-Adenosyl)methionine,154131,125258,362453,33743,62146,57187,35914,36774,28214,47327,53265,39299,52591,77752,61379,50041,64301,29319,39183
"1,7-Dimethylxanthine",86474,84453,81493,92907,107270,104404,82085,71331,89486,111167,82322,95486,66392,100780,79489,65246,108755,73177,137594
1-Aminocyclopropane-1-carboxylic acid,8712,6730,12336,8271,9420,9108,5617,11291,10728,8629,11760,8473,10418,10992,12677,11796,16585,7856,9526
2-Aminoadipic acid,279446,111439,344029,61426,84644,101361,90484,84471,81056,104412,128285,66711,114382,141492,102991,171158,112152,82894,51557
2-Aminobutyric acid,13978749,6314369,11272148,7066338,8099379,8966850,9404790,7562762,8196720,6288195,8872111,10222678,11540580,11008706,9520181,8713929,13393202,7116121,10404018
2-Aminoisobutyric acid,923949,900611,1364764,553612,839984,800264,501703,733805,491852,780150,919525,763296,791117,965441,915959,672367,969975,568545,912588
2-Aminophenol,851799,506210,847271,867427,934411,893600,855496,941825,806266,766543,850100,860804,816071,1044438,853464,947514,936567,928456,738312
2-Deoxyadenosine,154362,76149,149213,118861,118188,140380,112112,121901,108631,102368,146730,134502,113776,158316,136480,114407,128662,110025,116453
2-Deoxyguanosine 5-monophosphate (dGMP),663058,386801,865906,327526,322653,340065,211192,181035,188917,256862,284152,284246,261695,374657,314398,310078,323334,177708,179209
2-Deoxyuridine,5005,961,7278,2840,3624,6016,3187,4833,2287,2823,5481,3512,4083,2884,4315,3140,3331,3932,3968
2-Hydroxypyridine,150737,216573,266074,185455,207155,177241,182835,191536,173254,159354,245909,257002,251959,171228,172880,176212,200326,182759,232254
2-Methylglutaric acid,4806447,5843831,4540800,4889115,4505515,5287134,4522064,5107774,4608454,4695946,4138108,4550629,4461220,3733866,4294858,4551988,5321901,4206489,4348803
2-Oxoadipic acid,921411,691793,888915,725335,874169,740963,693179,678656,689201,699150,836221,751809,785888,908614,795100,728812,736639,616130,703919
3-(2-Hydroxyethyl)indole (IEA),21624,16113,22582,21622,26546,19414,18715,24250,21745,21342,23704,21742,20431,26208,15325,15531,19596,23683,4998
3-Amino-4-hydroxybenzoic acid,355547,242950,365027,362292,391524,337914,345339,356300,366883,270396,365834,304548,331128,438379,369650,337165,349265,298223,330870
3-Hydroxybenzaldehyde,206091,137965,231569,289985,291823,244828,206256,250544,221995,205755,275118,239407,245198,308151,265491,262083,287402,234842,230805
3-Hydroxybenzyl alcohol,2600,653,1739,4091,291,2301,4610,1509,2013,3143,4920,535,2575,4249,3053,3507,2517,4500,3948
3-Hydroxyphenylacetic acid,11330,11972,15132,11211,13006,10179,10022,9028,8104,10745,12054,10964,11577,11402,9430,7982,10544,7300,7655
3-Methyladenine,77549,31017,76514,47950,50834,48656,51309,43691,41361,39964,62236,64048,63009,73329,66409,39579,74169,32673,54932
3-Methylglutaric acid,68605,60995,109848,31812,43753,39771,33505,36442,25190,35982,42751,37800,40937,53199,41889,42087,43795,33656,25344
4-Aminobenzoic acid (PAB),110602,47591,99502,47378,56546,78057,81142,73434,59166,62256,91406,75682,78209,92413,66961,79460,103928,58654,85048
4-Hydroxybenzaldehyde,208900,135162,228296,281999,320584,227046,217577,276824,235365,195528,296187,220381,255617,313352,249120,266750,308064,256226,236896
4-Hydroxyphenylacetic acid,9807,11074,10677,9251,11231,10598,9351,8748,8233,9378,10353,11165,10753,9884,9049,8624,10729,8653,7205
4-Methylaminobutyrate,2413509,2494927,2385582,2117413,2262682,2195409,2038703,1956545,1711135,1745490,2297302,2107448,2176914,2034680,2219690,2172572,2274903,1906076,12460006
5-Deoxy-5-(methylthio)adenosine,393821,298901,390522,268452,431391,348870,342386,308072,352571,302085,376949,278367,289366,369030,277133,314909,325301,239119,327079
5-Valerolactone,115355,97075,104802,78134,88167,97267,102481,33525,32381,13463,12871,88680,78807,69473,77329,69102,83189,96900,100057
Acetylcholine,1175455,2849099,3202554,6542371,6908475,2735999,5812214,4813038,2345790,4891415,4953530,1342011,1743134,6425119,4262153,5970965,2566409,6018150,7524880
Adenine,25065291,9269101,28463457,13696517,17274870,22636053,24875308,20991025,13496052,14741278,30183711,22206303,21176055,37798385,22512585,24777434,39255056,16771594,28404619
Adenosine 5-monophosphate (AMP),17855698,7376265,23849077,6038436,9218277,6674916,6066248,5650174,5400989,7459947,8919694,8470744,8726519,14471496,12210936,8143665,10390567,5177955,6916339
Adenylosuccinic acid,44823,4839,66936,8107,8906,13845,10613,16041,11737,9179,18031,18335,20606,23695,15922,17441,23463,8901,14136
Adipic acid,97686,75698,113895,43681,55127,50643,33908,32118,28734,49281,47868,40686,45470,49584,47230,38519,53128,22974,26528
Alanine,28535,31192,39533,24458,34378,31463,21910,27055,22933,28141,28819,25645,28531,29115,29096,22828,28801,22237,29253
alpha-Ketoglutaric acid,81875,115045,91385,97509,78961,111492,95875,114221,90281,94434,73050,81335,80193,68104,82936,86811,105134,84506,78696
Aniline,227818,139842,232962,260795,243013,228723,271166,275618,226866,202186,199286,225623,203074,241406,212475,207362,246538,206430,243771
Anserine,104126,122261,281388,22811,36113,42923,15316,16606,17828,33305,41739,25634,28519,50859,54307,34539,49191,20613,33627
Benzaldehyde,103478,121836,144734,133046,131743,145690,119930,144021,101734,115041,129699,112866,97624,129967,116262,149496,140278,118817,152637
Benzoic acid,151985,131395,289824,164654,149566,201892,232358,238591,128592,148824,235384,142404,211051,151912,263607,212951,137734,211017,224497
Benzylamine,1620493,1282380,1650117,1462127,1516696,1680535,1478800,1169249,1023761,1430681,1409335,1536505,1398207,1581003,1172748,1531628,1259000,1379849,4324360
beta-Alanine,9572,8134,8658,6522,8275,8096,6035,4898,5771,6357,8664,5054,7318,10949,8447,6601,7994,6271,8610
Betaine,290555,452993,204253,205059,227867,275090,346873,322383,287522,476984,315013,310906,320814,322542,397016,399566,335564,432552,250275
CDP-ethanolamine,31368,24025,82070,6126,9929,7035,6796,5380,5124,9124,11222,9470,9596,11939,9172,6600,10577,3738,7331
Cinnamaldehyde,203686,114907,162250,121435,123921,121676,111955,103735,105514,89054,109759,103344,102212,102979,99079,97304,79043,71573,108122
cis-Aconitic acid,107632,87176,139488,99863,125238,107245,76402,100053,76151,80982,95198,66552,81537,116725,91943,93421,80758,79402,83710
Citric acid,253419,144373,202761,78612,126024,110890,116728,96855,100464,77311,97734,75459,75808,104901,76053,83368,70507,75057,105080
Creatinine,121412260,112939804,120449384,116490144,122130241,117140196,114214709,108745805,113620887,109179394,118337808,111956618,113853813,126960899,116246724,115284033,115418593,112282540,123921223
Cytidine diphosphate choline (CDPcholine),90362,67612,322981,13982,20805,29505,29395,19082,8703,23779,35772,22127,38128,42931,39092,38316,55664,15504,20254
Dihydrouracil,59005,34695,49937,40771,43998,80476,38821,35944,49386,76242,43121,59635,34846,43463,43067,53311,97177,52597,147933
Ergocalciferol (Vitamin D2),548960,422156,618431,402801,447752,469173,501811,315176,308759,311198,519929,384430,407217,426960,489944,403939,341362,392312,417524
Glucose,5036351,2621690,4948714,2926201,3597824,3267887,3061286,2754321,2728890,3049420,3776990,3090247,3114442,4611555,3474755,3238568,3676350,2600667,3025253
Glucuronic acid,179055,155414,251576,66554,98859,85828,71235,75687,62473,86657,100624,77434,103782,108263,114076,92020,73789,61184,85424
