Metabolite,contrast,estimate_log2,SE,df,t_ratio,raw_p,label1,label2,Direction,p_adj_BH_global
"(R)-2,3-Dihydroxyisovalerate",(Female 4s2-) - (Male 4s2-),-0.8739163475010538,0.2717674405898514,15,-3.215677145151318,0.005775440199371385,(Female 4s2-),(Male 4s2-),(Male 4s2-) > (Female 4s2-),0.2194667275761126
"(R)-2,3-Dihydroxyisovalerate",(Female 4s2-) - Female 4s2M,-0.45472845603749634,0.2430761884920173,15,-1.870723985177305,0.08102254104564413,(Female 4s2-),Female 4s2M,Female 4s2M > (Female 4s2-),0.4769866957403076
"(R)-2,3-Dihydroxyisovalerate",(Female 4s2-) - Male 4s2M,-0.6445323351514031,0.29770631521301344,15,-2.1649938285327615,0.04692086735975142,(Female 4s2-),Male 4s2M,Male 4s2M > (Female 4s2-),0.4222878062377628
"(R)-2,3-Dihydroxyisovalerate",(Male 4s2-) - Female 4s2M,0.4191878914635575,0.2717674405898514,15,1.5424507459530132,0.14379458642901802,(Male 4s2-),Female 4s2M,(Male 4s2-) > Female 4s2M,0.5546281086083699
"(R)-2,3-Dihydroxyisovalerate",(Male 4s2-) - Male 4s2M,0.22938401234965078,0.3215595721956692,15,0.7133484187187265,0.48658132072545834,(Male 4s2-),Male 4s2M,(Male 4s2-) > Male 4s2M,0.7987918390665082
"(R)-2,3-Dihydroxyisovalerate",Female 4s2M - Male 4s2M,-0.18980387911390673,0.29770631521301344,15,-0.6375540907760023,0.5333757257756147,Female 4s2M,Male 4s2M,Male 4s2M > Female 4s2M,0.8246545410952103
(R)-2-Pyrrolidone-5-carboxylic acid,(Female 4s2-) - (Male 4s2-),-0.25649920944558857,0.2083770353611946,15,-1.2309379918040413,0.237298940754877,(Female 4s2-),(Male 4s2-),(Male 4s2-) > (Female 4s2-),0.6171577014309348
(R)-2-Pyrrolidone-5-carboxylic acid,(Female 4s2-) - Female 4s2M,-0.3411007627219752,0.1863780864070034,15,-1.830154871196048,0.08716862129757083,(Female 4s2-),Female 4s2M,Female 4s2M > (Female 4s2-),0.4769866957403076
(R)-2-Pyrrolidone-5-carboxylic acid,(Female 4s2-) - Male 4s2M,-0.3081035649067404,0.2282656054667559,15,-1.3497590417826304,0.19711210721741448,(Female 4s2-),Male 4s2M,Male 4s2M > (Female 4s2-),0.5716148332801876
(R)-2-Pyrrolidone-5-carboxylic acid,(Male 4s2-) - Female 4s2M,-0.0846015532763866,0.2083770353611946,15,-0.40600228873465244,0.6904737027845076,(Male 4s2-),Female 4s2M,Female 4s2M > (Male 4s2-),0.9062612211536253
