Metabolite,contrast,Sex,estimate_log2,SE,df,t_ratio,raw_p,label1,label2,Direction,p_adj_BH_global
"(R)-2,3-Dihydroxyisovalerate",(4s2-) - 4s2M,Female,-0.45472845603749634,0.2430761884920173,15,-1.870723985177305,0.08102254104564413,(4s2-),4s2M,4s2M > (4s2-),0.43205316643143804
"(R)-2,3-Dihydroxyisovalerate",(4s2-) - 4s2M,Male,0.22938401234965078,0.3215595721956692,15,0.7133484187187265,0.48658132072545834,(4s2-),4s2M,(4s2-) > 4s2M,0.8026389306187104
(R)-2-Pyrrolidone-5-carboxylic acid,(4s2-) - 4s2M,Female,-0.3411007627219752,0.1863780864070034,15,-1.830154871196048,0.08716862129757083,(4s2-),4s2M,4s2M > (4s2-),0.43205316643143804
(R)-2-Pyrrolidone-5-carboxylic acid,(4s2-) - 4s2M,Male,-0.0516043554611518,0.24655503323251945,15,-0.20930156965193697,0.8370288108870341,(4s2-),4s2M,4s2M > (4s2-),0.918046738637436
(S)-(5-Adenosyl)methionine,(4s2-) - 4s2M,Female,-0.5408815276520877,0.48599758209139077,15,-1.1129304909800481,0.28325628002485936,(4s2-),4s2M,4s2M > (4s2-),0.6511438231580066
(S)-(5-Adenosyl)methionine,(4s2-) - 4s2M,Male,0.5327663587128815,0.6429143699962592,15,0.8286739005631207,0.420279931437643,(4s2-),4s2M,(4s2-) > 4s2M,0.7790554826648992
"1,7-Dimethylxanthine",(4s2-) - 4s2M,Female,-0.04292598228570238,0.17169875677870458,15,-0.2500075311612646,0.8059731610295219,(4s2-),4s2M,4s2M > (4s2-),0.918046738637436
"1,7-Dimethylxanthine",(4s2-) - 4s2M,Male,-0.12901189854284448,0.22713610542770898,15,-0.5679937951736401,0.5784430681679154,(4s2-),4s2M,4s2M > (4s2-),0.8387869694988654
1-Aminocyclopropane-1-carboxylic acid,(4s2-) - 4s2M,Female,0.1335322678976062,0.1877483331374139,15,0.7112301114272652,0.4878551877543452,(4s2-),4s2M,(4s2-) > 4s2M,0.8026389306187104
1-Aminocyclopropane-1-carboxylic acid,(4s2-) - 4s2M,Male,0.6015121792312809,0.24836769927425223,15,2.421861542337999,0.02857600481541013,(4s2-),4s2M,(4s2-) > 4s2M,0.3257664548956755
2-Aminoadipic acid,(4s2-) - 4s2M,Female,-0.4356927507055823,0.3842609768283757,15,-1.133845945798909,0.27465593759532586,(4s2-),4s2M,4s2M > (4s2-),0.6483405606047298
2-Aminoadipic acid,(4s2-) - 4s2M,Male,0.770360225629737,0.5083294916173177,15,1.5154741921007453,0.1504397229637126,(4s2-),4s2M,(4s2-) > 4s2M,0.546224652417334
