Metabolite,contrast,Genotype,estimate_log2,SE,df,t_ratio,raw_p,label1,label2,Direction,p_adj_BH_global
"(R)-2,3-Dihydroxyisovalerate",Female - Male,4s2-,-0.8739163475010538,0.2717674405898514,15,-3.215677145151318,0.005775440199371385,Female,Male,Male > Female,0.1097333637880563
"(R)-2,3-Dihydroxyisovalerate",Female - Male,4s2M,-0.18980387911390673,0.29770631521301344,15,-0.6375540907760023,0.5333757257756147,Female,Male,Male > Female,0.8619640389730581
(R)-2-Pyrrolidone-5-carboxylic acid,Female - Male,4s2-,-0.25649920944558857,0.2083770353611946,15,-1.2309379918040413,0.237298940754877,Female,Male,Male > Female,0.6079118931697973
(R)-2-Pyrrolidone-5-carboxylic acid,Female - Male,4s2M,0.0329971978152348,0.2282656054667559,15,0.14455615311716527,0.8869856922828068,Female,Male,Female > Male,0.9777183940268404
(S)-(5-Adenosyl)methionine,Female - Male,4s2-,-1.4172632086003212,0.5433618152284422,15,-2.6083231630924786,0.01976862969391414,Female,Male,Male > Female,0.17335567577740094
(S)-(5-Adenosyl)methionine,Female - Male,4s2M,-0.34361532223535185,0.5952230461751438,15,-0.5772883366049025,0.5723082896143494,Female,Male,Male > Female,0.8713363648006438
"1,7-Dimethylxanthine",Female - Male,4s2-,-0.08803371853675597,0.19196504590469315,15,-0.4585924386487682,0.6531012272601552,Female,Male,Male > Female,0.9145661700061103
"1,7-Dimethylxanthine",Female - Male,4s2M,-0.17411963479389808,0.21028717178903028,15,-0.8280088286535275,0.4206448324340719,Female,Male,Male > Female,0.8297281816034752
1-Aminocyclopropane-1-carboxylic acid,Female - Male,4s2-,-0.3971699696941967,0.20990901777876697,15,-1.8921053220914639,0.07794173820456723,Female,Male,Male > Female,0.4038799161509393
1-Aminocyclopropane-1-carboxylic acid,Female - Male,4s2M,0.07080994163947793,0.22994380812236728,15,0.3079445461814549,0.7623592849798844,Female,Male,Female > Male,0.9525101634634475
2-Aminoadipic acid,Female - Male,4s2-,-0.7987770499216678,0.42961683264435985,15,-1.8592778243931183,0.0827161741275998,Female,Male,Male > Female,0.4099845152411468
2-Aminoadipic acid,Female - Male,4s2M,0.4072759264136516,0.4706216606464755,15,0.8653998752505183,0.40044892867929527,Female,Male,Female > Male,0.8008978573585905
2-Aminobutyric acid,Female - Male,4s2-,-0.42503897344880504,0.21344024701631917,15,-1.9913721961552429,0.06497412543066683,Female,Male,Male > Female,0.34451396739981477
2-Aminobutyric acid,Female - Male,4s2M,0.1643629610046875,0.23381207594062547,15,0.7029703677342398,0.49284118174672353,Female,Male,Female > Male,0.8597683153311272
2-Aminoisobutyric acid,Female - Male,4s2-,-0.6216115404942293,0.22560491758196236,15,-2.7553102439285153,0.014728012309995084,Female,Male,Male > Female,0.16789934033394396
2-Aminoisobutyric acid,Female - Male,4s2M,-0.22309545349749244,0.2471378048874693,15,-0.9027168206785513,0.38094413878261923,Female,Male,Male > Female,0.7824798526345692
2-Aminophenol,Female - Male,4s2-,-0.08508115145083528,0.13346261074963525,15,-0.6374905374093156,0.533415993640937,Female,Male,Male > Female,0.8619640389730581
2-Aminophenol,Female - Male,4s2M,0.14602423034382347,0.1462009649822134,15,0.9987911527231613,0.33373652025019507,Female,Male,Female > Male,0.7178483643117404
2-Deoxyadenosine,Female - Male,4s2-,-0.2850336772030727,0.1590259038265545,15,-1.7923726282603096,0.09326170718347042,Female,Male,Male > Female,0.4341050998241392
2-Deoxyadenosine,Female - Male,4s2M,0.18647222791944007,0.17420414950690202,15,1.0704235716959887,0.3013511370351552,Female,Male,Female > Male,0.6902812917059069
2-Deoxyguanosine 5-monophosphate (dGMP),Female - Male,4s2-,-0.9637064207503838,0.3596317202410263,15,-2.6797036148660767,0.01714196942691838,Female,Male,Male > Female,0.1700686011952668
2-Deoxyguanosine 5-monophosphate (dGMP),Female - Male,4s2M,-0.11103276657962341,0.3939568111407947,15,-0.28183994651114647,0.7819174587664515,Female,Male,Male > Female,0.9584794655846824
2-Deoxyuridine,Female - Male,4s2-,-0.12725497512446599,0.413442873488017,15,-0.3077933694947442,0.7624720844314248,Female,Male,Male > Female,0.9525101634634475
2-Deoxyuridine,Female - Male,4s2M,0.685696766447988,0.45290397609828303,15,1.5140003237666155,0.15081010178963666,Female,Male,Female > Male,0.5330745862163652
2-Hydroxypyridine,Female - Male,4s2-,-0.09806359319326267,0.2091333043719244,15,-0.46890471839370723,0.6458801761013052,Female,Male,Male > Female,0.9145661700061103
